subject;index;acceptability;condition;idnumber
28;66;6;FPS;9
28;68;3;CNS;18
28;74;6;FPA;20
28;78;6;CNA;7
28;82;5;FPA;17
28;84;6;CNS;16
28;90;6;FPS;8
28;92;5;CNA;6
29;24;5;CNS;19
29;26;5;FPS;7
29;28;6;CNA;9
29;30;6;FPA;16
29;36;5;CNA;8
29;40;5;CNS;16
29;42;4;FPS;9
29;44;3;FPA;20
29;48;4;FPS;8
29;52;4;CNA;6
29;54;3;CNS;18
29;56;0;FPA;17
29;66;3;CNS;17
29;70;4;FPA;18
29;72;4;FPS;10
29;74;4;CNA;7
29;80;4;FPS;6
29;84;2;CNS;20
29;92;4;FPA;19
29;94;4;CNA;10
30;20;4;CNS;16
30;24;5;FPS;9
30;26;5;CNA;7
30;30;6;FPA;16
30;40;6;FPA;19
30;44;6;FPS;6
30;46;1;CNA;6
30;48;5;FPA;20
30;54;4;FPS;10
30;58;6;CNA;9
30;62;0;CNS;18
30;68;0;CNS;20
30;74;1;CNA;8
30;76;6;FPA;17
30;78;6;FPS;8
30;80;6;CNA;10
30;82;6;CNS;17
30;86;6;FPS;7
30;94;6;FPA;18
31;18;4;FPA;18
31;24;6;CNA;7
31;26;5;CNS;16
31;28;4;FPS;9
31;34;3;FPS;10
31;38;4;FPA;20
31;40;4;CNS;17
31;46;5;CNA;6
31;50;3;CNS;19
31;58;6;CNA;9
31;60;4;FPA;16
31;62;4;FPS;6
31;64;3;CNS;20
31;66;6;CNA;8
31;68;6;FPS;8
31;74;4;FPA;19
31;82;5;FPS;7
31;84;4;CNA;10
31;86;4;FPA;17
31;90;4;CNS;18
32;18;1;CNA;14
32;24;5;FPA;2
32;28;3;CNS;4
32;30;4;FPS;15
32;32;1;CNS;2
32;34;0;CNA;11
32;36;5;FPS;14
32;38;5;FPA;3
32;48;5;FPA;1
32;54;6;FPS;11
32;56;1;CNS;5
32;58;6;CNA;12
32;64;3;FPA;5
32;66;5;CNS;1
32;76;6;CNA;15
32;78;5;FPS;12
32;86;6;FPS;13
32;88;6;FPA;4
32;90;4;CNS;3
32;92;6;CNA;13
33;22;5;CNA;12
33;24;6;FPA;2
33;28;0;CNS;5
33;30;3;FPS;11
33;34;2;FPS;12
33;42;1;CNS;2
33;44;3;CNA;14
33;46;2;FPA;1
33;50;1;CNS;1
33;52;3;FPA;5
33;58;5;FPS;14
33;60;5;CNA;13
33;68;5;CNS;4
33;70;6;CNA;15
33;72;4;FPS;13
33;78;2;FPA;3
33;80;0;CNS;3
33;82;6;FPA;4
33;88;1;FPS;15
33;92;0;CNA;11
34;22;6;CNA;17
34;26;3;CNS;7
34;28;3;FPA;10
34;30;5;FPS;19
34;32;5;FPS;18
34;34;6;CNA;19
34;44;0;CNS;10
34;54;4;CNS;9
34;56;4;CNA;18
34;58;6;FPS;20
34;62;0;FPA;8
34;66;5;FPA;7
34;68;2;CNS;8
34;72;6;FPS;17
34;74;6;CNA;20
34;82;6;FPS;16
34;86;6;FPA;9
34;90;0;CNS;6
34;94;4;CNA;16
35;20;6;CNS;7
35;22;5;FPS;16
35;24;4;FPA;9
35;28;4;CNA;17
35;34;5;CNS;6
35;36;4;FPA;7
35;40;5;FPS;18
35;44;5;CNA;19
35;48;5;CNA;16
35;50;6;FPS;17
35;54;5;CNS;9
35;62;6;FPA;6
35;64;5;FPS;19
35;72;4;CNS;10
35;74;6;CNA;20
35;76;5;FPA;10
35;82;6;FPS;20
35;84;5;CNS;8
35;88;5;FPA;8
35;92;4;CNA;18
36;20;3;CNS;10
36;22;6;CNA;18
36;24;6;FPS;19
36;28;6;FPA;9
36;32;6;CNA;20
36;36;6;FPA;7
36;38;6;FPS;17
36;46;1;CNS;6
36;50;6;FPA;6
36;52;5;CNS;8
36;54;6;FPS;20
36;60;6;CNA;19
36;64;6;FPS;18
36;68;6;CNA;16
36;70;6;CNS;9
36;72;6;FPA;8
36;82;6;CNA;17
36;84;5;FPS;16
36;88;6;FPA;10
36;92;6;CNS;7
37;16;6;CNA;20
37;22;1;CNS;8
37;26;0;FPS;18
37;28;1;FPA;8
37;38;5;FPS;17
37;40;6;CNA;19
37;42;3;CNS;7
37;46;5;FPA;7
37;54;1;FPA;6
37;56;5;FPS;20
37;60;5;CNA;17
37;62;2;CNS;10
37;72;5;FPA;9
37;74;5;CNS;9
37;76;5;FPS;19
37;78;4;CNA;16
37;80;2;CNS;6
37;84;4;FPA;10
37;90;4;FPS;16
37;92;5;CNA;18
38;26;1;FPS;1
38;30;5;FPA;13
38;36;5;CNA;4
38;42;3;FPA;14
38;44;3;CNS;13
38;48;6;FPS;2
38;52;2;CNS;14
38;60;6;FPA;11
38;62;6;CNA;5
38;66;6;CNA;3
38;68;6;FPA;12
38;74;5;FPS;3
38;78;0;CNS;11
38;80;3;FPA;15
38;88;2;CNA;2
38;90;3;CNS;15
38;92;5;FPS;5
39;22;5;CNA;3
39;24;3;CNS;11
39;28;2;FPS;3
39;30;6;FPA;11
39;32;2;FPA;15
39;36;6;FPS;4
39;38;6;CNA;2
39;46;5;CNS;12
39;52;4;CNS;13
39;56;3;FPA;14
39;58;4;CNA;5
39;62;5;FPS;2
39;64;1;CNS;15
39;70;4;FPS;1
39;74;5;CNA;4
39;76;5;FPA;13
39;86;1;CNA;1
39;88;3;CNS;14
39;90;5;FPA;12
39;92;1;FPS;5
40;18;3;FPA;14
40;20;4;CNS;14
40;26;1;CNA;2
40;34;6;CNS;15
40;38;2;CNA;3
40;40;2;FPS;1
40;50;6;CNA;1
40;56;6;FPA;12
40;60;0;FPS;5
40;62;6;CNS;13
40;66;0;FPS;3
40;68;3;CNA;4
40;76;3;CNS;12
40;78;4;FPA;11
40;82;6;FPS;4
40;84;2;CNS;11
40;86;6;CNA;5
40;90;0;FPA;15
41;18;6;FPS;2
41;22;5;FPA;12
41;24;6;CNA;3
41;40;6;FPA;11
41;42;4;CNS;14
41;44;3;FPS;4
41;46;6;CNA;1
41;52;0;CNS;11
41;58;6;CNA;4
41;60;5;FPS;1
41;62;5;FPA;13
41;64;5;FPA;15
41;66;5;CNA;2
41;68;4;FPS;3
41;76;4;CNS;13
41;82;4;FPA;14
41;84;4;FPS;5
41;86;3;CNS;15
41;88;5;CNA;5
42;20;4;CNS;11
42;24;6;FPS;4
42;26;5;CNA;5
42;28;6;FPA;14
42;32;6;FPS;1
42;34;6;CNA;3
42;36;3;CNS;12
42;42;6;FPA;13
42;48;1;CNS;14
42;54;3;CNA;4
42;58;0;FPS;3
42;60;5;FPA;11
42;64;0;CNS;13
42;70;6;CNA;2
42;74;6;FPA;12
42;76;6;FPS;2
42;80;4;FPS;5
42;84;4;CNA;1
42;88;2;CNS;15
42;90;4;FPA;15
43;18;3;FPA;13
43;20;6;CNA;5
43;22;1;CNS;13
43;26;6;FPS;2
43;34;6;CNA;3
43;36;4;CNS;12
43;46;4;FPA;15
43;48;5;FPA;14
43;50;6;FPS;4
43;56;2;CNS;15
43;58;5;CNA;1
43;64;4;FPS;5
43;70;3;CNS;14
43;72;2;FPA;11
43;74;4;CNA;4
43;80;4;FPA;12
43;84;5;FPS;1
43;86;5;CNA;2
43;88;1;CNS;11
44;16;1;CNS;15
44;18;6;FPA;15
44;20;4;FPS;5
44;24;6;CNA;5
44;32;6;FPA;12
44;34;6;FPS;1
44;36;6;CNA;4
44;44;3;CNS;11
44;52;5;FPS;4
44;56;3;CNS;12
44;58;5;FPA;13
44;66;3;CNS;14
44;72;6;CNA;3
44;74;5;FPA;11
44;78;6;FPS;3
44;80;6;FPS;2
44;82;5;CNA;2
44;88;5;CNS;13
44;90;2;FPA;14
45;18;4;CNS;16
45;22;5;FPA;18
45;28;6;FPS;8
45;30;1;CNA;6
45;32;6;FPS;6
45;36;2;FPA;17
45;42;6;CNA;10
45;44;4;CNS;17
45;50;6;FPS;9
45;52;1;CNS;18
45;58;6;CNA;9
45;62;6;FPA;20
45;66;6;FPA;19
45;70;6;CNA;8
45;74;6;FPS;7
45;78;1;CNS;19
45;80;6;FPA;16
45;88;6;CNA;7
45;90;1;CNS;20
45;94;6;FPS;10
46;18;6;CNA;7
46;28;6;FPS;8
46;32;6;CNA;9
46;38;6;FPS;7
46;42;6;FPA;16
46;46;3;CNS;18
46;58;3;CNA;8
46;66;6;FPS;9
46;72;6;FPA;20
46;76;6;CNA;10
46;78;6;CNS;17
46;82;6;FPA;17
46;86;2;CNA;6
46;92;6;FPS;6
47;20;2;CNA;6
47;22;2;FPA;17
47;32;4;FPA;16
47;34;5;CNA;9
47;42;2;CNS;19
47;44;4;FPS;9
47;50;0;CNS;18
47;52;5;FPS;6
47;58;5;FPA;19
47;62;4;CNA;8
47;68;4;CNS;17
47;72;5;CNA;7
47;76;5;FPS;8
47;78;5;FPA;18
47;86;4;CNS;20
47;88;5;FPS;10
47;92;5;CNA;10
47;94;6;FPA;20
48;16;5;FPS;6
48;18;5;CNS;17
48;20;6;CNA;9
48;30;6;FPA;19
48;32;6;FPS;7
48;42;5;FPA;16
48;44;5;CNA;6
48;46;0;CNS;18
48;50;5;CNA;7
48;54;0;FPS;9
48;58;4;CNS;20
48;60;5;FPA;18
48;66;6;CNA;10
48;68;0;CNS;19
48;74;5;FPA;17
48;78;2;FPS;10
48;80;6;FPS;8
48;82;6;CNS;16
48;84;6;FPA;20
48;92;5;CNA;8
49;18;6;FPS;8
49;22;6;FPA;20
49;30;3;CNA;6
49;34;4;CNA;8
49;38;4;FPA;19
49;46;0;FPS;7
49;48;0;FPA;18
49;50;6;CNA;9
49;56;0;CNS;18
49;60;6;FPS;9
49;64;4;FPS;6
49;70;5;CNS;16
49;72;3;CNA;7
49;76;5;FPA;17
49;82;3;FPA;16
49;88;0;CNA;10
49;90;0;CNS;20
50;16;0;FPA;17
50;20;0;CNA;6
50;22;5;FPS;8
50;28;6;CNS;20
50;32;6;CNA;9
50;38;6;FPS;7
50;42;5;CNS;19
50;44;5;FPA;19
50;52;3;FPS;9
50;56;6;CNS;17
