"subject";"latinsqr";"preg_class";"is_correct";"idnumber"
3145;1;0;1;12
3145;1;0;1;27
3329;1;1;1;3
3329;1;1;1;25
3329;1;1;1;28
3329;1;1;1;38
3329;1;0;1;14
3329;1;1;1;29
3329;1;1;1;27
3329;1;1;0;39
3329;1;1;1;10
3329;1;1;1;18
3329;1;1;1;31
3329;1;1;1;32
3329;1;0;1;12
3588;1;1;1;28
3588;1;0;1;39
3588;1;1;1;32
3588;1;0;1;3
3588;1;0;1;29
3588;1;0;0;18
3588;1;0;1;12
3588;1;0;1;38
3588;1;1;1;31
3588;1;0;1;10
3588;1;1;1;27
3588;1;1;1;14
3588;1;0;1;25
4061;1;1;1;12
4061;1;0;1;18
4061;1;0;1;32
4061;1;0;1;25
4061;1;1;1;38
4061;1;0;1;14
4061;1;0;1;39
4061;1;1;1;31
4061;1;1;1;10
4061;1;0;1;3
4061;1;1;1;29
4061;1;1;1;27
4061;1;1;1;28
4220;1;1;1;32
4220;1;1;1;27
4220;1;1;1;39
4220;1;1;1;31
4220;1;0;1;12
4220;1;0;1;14
4220;1;1;1;18
4220;1;0;1;38
4220;1;1;1;25
4220;1;1;1;29
4220;1;0;1;28
4220;1;1;1;3
4220;1;1;1;10
5015;1;0;1;25
5015;1;0;1;18
5015;1;0;1;10
5015;1;1;1;27
5015;1;1;1;39
5015;1;1;1;31
5015;1;1;1;32
5015;1;0;1;28
5015;1;0;1;38
5015;1;0;1;29
5015;1;1;1;14
5015;1;1;1;3
5015;1;0;1;12
5839;1;0;0;29
5839;1;1;1;39
5839;1;1;1;3
5839;1;0;1;12
5839;1;0;1;18
5839;1;1;1;32
5839;1;1;1;28
5839;1;0;1;31
5839;1;0;1;14
5839;1;0;1;27
5839;1;0;1;25
5839;1;1;1;10
5839;1;0;1;38
5849;1;1;1;28
5849;1;1;1;12
5849;1;1;1;32
5849;1;0;1;38
5849;1;1;1;25
5849;1;1;1;3
5849;1;1;1;14
5849;1;1;1;31
5849;1;0;1;29
5849;1;1;1;18
5849;1;0;1;27
5849;1;1;1;39
5849;1;0;1;10
6201;1;1;1;14
6201;1;1;1;25
6201;1;1;1;3
6201;1;0;1;12
6201;1;1;1;39
6201;1;0;1;31
6201;1;0;1;28
6201;1;1;1;32
6201;1;0;1;29
6201;1;1;1;27
6201;1;0;1;10
6201;1;0;1;18
6201;1;0;1;38
6402;1;0;1;14
6402;1;1;1;39
6402;1;0;1;32
6402;1;1;1;29
6402;1;1;1;28
6402;1;0;1;38
6402;1;1;1;18
6402;1;1;1;12
6402;1;1;1;3
6402;1;0;1;25
6402;1;0;1;27
6402;1;1;1;31
6402;1;1;1;10
