"subject";"index";"acceptability";"idnumber";"condition"
22;39;0;14;"EIC"
22;40;0;6;"EIC"
23;1;0;9;"EIC"
23;2;0;19;"EIC"
23;3;6;15;"EAC"
23;4;6;14;"EAC"
23;5;4;6;"EAC"
23;6;6;12;"EAC"
23;7;0;18;"EIC"
23;8;5;5;"EAC"
23;9;0;1;"EIC"
23;10;5;18;"EAC"
23;11;0;8;"EIC"
23;12;3;15;"EIC"
23;13;0;6;"EIC"
23;14;5;10;"EAC"
23;15;4;16;"EAC"
23;16;0;17;"EIC"
23;17;6;17;"EAC"
23;18;0;10;"EIC"
23;19;6;11;"EAC"
23;20;0;14;"EIC"
23;21;6;4;"EAC"
23;22;6;2;"EAC"
23;23;0;2;"EIC"
23;24;5;19;"EAC"
23;25;0;3;"EIC"
23;26;6;20;"EAC"
23;27;0;5;"EIC"
23;28;0;4;"EIC"
23;29;0;11;"EIC"
23;30;6;13;"EAC"
23;31;6;7;"EAC"
23;32;4;7;"EIC"
23;33;0;12;"EIC"
23;34;6;1;"EAC"
23;35;2;20;"EIC"
23;36;5;3;"EAC"
23;37;0;13;"EIC"
23;38;0;16;"EIC"
23;39;5;9;"EAC"
23;40;4;8;"EAC"
24;1;0;5;"EIC"
24;2;0;12;"EIC"
24;3;5;14;"EAC"
24;4;0;2;"EIC"
24;5;0;16;"EIC"
24;6;1;9;"EIC"
24;7;0;14;"EIC"
24;8;5;19;"EAC"
24;9;0;4;"EIC"
24;10;6;20;"EAC"
24;11;0;11;"EIC"
24;12;6;11;"EAC"
24;13;6;2;"EAC"
24;14;2;3;"EIC"
24;15;0;6;"EIC"
24;16;6;17;"EAC"
24;17;0;8;"EIC"
24;18;0;15;"EIC"
24;19;6;7;"EAC"
24;20;0;1;"EIC"
24;21;3;16;"EAC"
24;22;0;13;"EIC"
24;23;4;8;"EAC"
24;24;6;10;"EAC"
24;25;3;3;"EAC"
24;26;0;10;"EIC"
24;27;6;18;"EAC"
24;28;0;17;"EIC"
24;29;6;4;"EAC"
24;30;3;5;"EAC"
24;31;0;7;"EIC"
24;32;3;6;"EAC"
24;33;6;1;"EAC"
24;34;0;18;"EIC"
24;35;6;12;"EAC"
24;36;0;20;"EIC"
24;37;6;13;"EAC"
24;38;4;9;"EAC"
24;39;6;15;"EAC"
24;40;0;19;"EIC"
25;1;0;5;"EIC"
25;2;4;4;"EIC"
25;3;0;17;"EIC"
25;4;0;10;"EIC"
25;5;6;1;"EAC"
25;6;6;5;"EAC"
25;7;0;3;"EIC"
25;8;0;2;"EIC"
25;9;0;20;"EIC"
25;10;0;8;"EIC"
25;11;3;7;"EAC"
25;12;0;15;"EIC"
25;13;6;20;"EAC"
25;14;3;13;"EIC"
25;15;6;14;"EIC"
25;16;0;12;"EIC"
25;17;6;13;"EAC"
25;18;1;9;"EIC"
25;19;6;10;"EAC"
25;20;6;11;"EAC"
25;21;6;6;"EAC"
25;22;0;19;"EIC"
25;23;6;9;"EAC"
25;24;4;8;"EAC"
25;25;0;18;"EIC"
25;26;0;6;"EIC"
25;27;6;14;"EAC"
25;28;6;19;"EAC"
25;29;2;15;"EAC"
25;30;6;16;"EAC"
25;31;0;16;"EIC"
25;32;6;17;"EAC"
25;33;0;11;"EIC"
25;34;0;1;"EIC"
25;35;6;4;"EAC"
25;36;1;7;"EIC"
25;37;5;3;"EAC"
